system,doc_id,field,error_type,gold,pred
regex_baseline,edgar_0000024741_000120677424000271_glw4309191-ex103,landlord_name,FN_missed,ba leasing bsc llc,
regex_baseline,edgar_0000024741_000120677424000271_glw4309191-ex103,tenant_name,FN_missed,solar technology llc,
regex_baseline,edgar_0000024741_000120677424000271_glw4309191-ex103,property_address,FN_missed,town 12 north range 2 east richland township saginaw county michigan,
regex_baseline,edgar_0000024741_000120677424000271_glw4309191-ex103,property_type,FP_FN_wrong_value,residential,commercial
regex_baseline,edgar_0000024741_000120677424000271_glw4309191-ex103,lease_start_date,FP_hallucinated,,2024-03-12
regex_baseline,edgar_0000024741_000120677424000271_glw4309191-ex103,lease_end_date,FP_hallucinated,,2024-03-12
regex_baseline,edgar_0000024741_000120677424000271_glw4309191-ex103,rent_frequency,FN_missed,monthly,
regex_baseline,edgar_0000029332_000002933224000020_ex10-53leaseagreementbetwe,landlord_name,FN_missed,adairsville ga llc,
regex_baseline,edgar_0000029332_000002933224000020_ex10-53leaseagreementbetwe,tenant_name,FN_missed,tdg operations llc,
regex_baseline,edgar_0000029332_000002933224000020_ex10-53leaseagreementbetwe,property_address,FN_missed,400 princeton boulevard adairsville gerogia 30103,
regex_baseline,edgar_0000029332_000002933224000020_ex10-53leaseagreementbetwe,property_type,FP_FN_wrong_value,commercial,industrial
regex_baseline,edgar_0000029332_000002933224000020_ex10-53leaseagreementbetwe,premises_area_sqft,FP_FN_wrong_value,294020.0,1826.0
regex_baseline,edgar_0000029332_000002933224000020_ex10-53leaseagreementbetwe,lease_start_date,FN_missed,2023-12-17,
regex_baseline,edgar_0000029332_000002933224000020_ex10-53leaseagreementbetwe,lease_end_date,FN_missed,2033-12-17,
regex_baseline,edgar_0000029332_000002933224000020_ex10-53leaseagreementbetwe,term_length_months,FN_missed,120,
regex_baseline,edgar_0000029332_000002933224000020_ex10-53leaseagreementbetwe,base_rent_amount,FN_missed,1495660.0,
regex_baseline,edgar_0000029332_000002933224000020_ex10-53leaseagreementbetwe,rent_frequency,FP_FN_wrong_value,monthly,annual
regex_baseline,edgar_0000768835_000076883523000091_ex102biglotslease,landlord_name,FN_missed,bankers commercial corporation,
regex_baseline,edgar_0000768835_000076883523000091_ex102biglotslease,tenant_name,FN_missed,avdc llc,
regex_baseline,edgar_0000768835_000076883523000091_ex102biglotslease,property_address,FN_missed,445 s figueroa street 14 th floor los angeles california 90071,
regex_baseline,edgar_0000768835_000076883523000091_ex102biglotslease,property_type,FP_hallucinated,,commercial
regex_baseline,edgar_0000768835_000076883523000091_ex102biglotslease,lease_end_date,FN_missed,2028-08-17,
regex_baseline,edgar_0000768835_000076883523000091_ex102biglotslease,term_length_months,FN_missed,60,
regex_baseline,edgar_0000768835_000076883523000091_ex102biglotslease,rent_frequency,FN_missed,none,
regex_baseline,edgar_0000879911_000121390023051014_ea180790ex10-1-applied,landlord_name,FN_missed,arizona board of regents for and on behalf of the university of arizona,
regex_baseline,edgar_0000879911_000121390023051014_ea180790ex10-1-applied,tenant_name,FN_missed,campus research corporation,
regex_baseline,edgar_0000879911_000121390023051014_ea180790ex10-1-applied,property_address,FN_missed,none,
regex_baseline,edgar_0000879911_000121390023051014_ea180790ex10-1-applied,property_type,FN_missed,industrial,
regex_baseline,edgar_0000879911_000121390023051014_ea180790ex10-1-applied,premises_area_sqft,FP_hallucinated,,25000.0
regex_baseline,edgar_0000879911_000121390023051014_ea180790ex10-1-applied,lease_start_date,FP_FN_wrong_value,2007-07-30,1994-08-05
regex_baseline,edgar_0000879911_000121390023051014_ea180790ex10-1-applied,term_length_months,FN_missed,300,
regex_baseline,edgar_0000879911_000121390023051014_ea180790ex10-1-applied,rent_frequency,FN_missed,none,
regex_baseline,edgar_0000879911_000121390023051617_ea180931ex10-1-applied,landlord_name,FN_missed,campus research corporation,
regex_baseline,edgar_0000879911_000121390023051617_ea180931ex10-1-applied,tenant_name,FN_missed,applied energetics inc,
regex_baseline,edgar_0000879911_000121390023051617_ea180931ex10-1-applied,property_address,FN_missed,none,
regex_baseline,edgar_0000879911_000121390023051617_ea180931ex10-1-applied,property_type,FN_missed,commercial,
regex_baseline,edgar_0000879911_000121390023051617_ea180931ex10-1-applied,premises_area_sqft,FN_missed,83759805.0,
regex_baseline,edgar_0000879911_000121390023051617_ea180931ex10-1-applied,lease_start_date,FP_FN_wrong_value,2023-08-01,2021-03-15
regex_baseline,edgar_0000879911_000121390023051617_ea180931ex10-1-applied,term_length_months,FN_missed,60,
regex_baseline,edgar_0000879911_000121390023051617_ea180931ex10-1-applied,base_rent_amount,FP_FN_wrong_value,7435.46,18270.97
regex_baseline,edgar_0000895464_000164033423000632_yubo-ex101,landlord_name,FN_missed,sichuan anyi hengke technology co ltd,
regex_baseline,edgar_0000895464_000164033423000632_yubo-ex101,tenant_name,FN_missed,yubo jingzhi biotechnology chengdu co ltd,
regex_baseline,edgar_0000895464_000164033423000632_yubo-ex101,property_address,FN_missed,none,
regex_baseline,edgar_0000895464_000164033423000632_yubo-ex101,premises_area_sqft,FN_missed,1282.34,
regex_baseline,edgar_0000895464_000164033423000632_yubo-ex101,term_length_months,FN_missed,54,
regex_baseline,edgar_0000895464_000164033423000632_yubo-ex101,base_rent_amount,FN_missed,330844.0,
regex_baseline,edgar_0000895464_000164033423000632_yubo-ex101,rent_frequency,FN_missed,annually,
regex_baseline,edgar_0000899923_000089992324000018_phasei-leaseterminationagr,landlord_name,FN_missed,hcpi utah ii llc,
regex_baseline,edgar_0000899923_000089992324000018_phasei-leaseterminationagr,tenant_name,FN_missed,myriad genetics inc,
regex_baseline,edgar_0000899923_000089992324000018_phasei-leaseterminationagr,property_address,FN_missed,320 wakara way salt lake city utah,
regex_baseline,edgar_0000899923_000089992324000018_phasei-leaseterminationagr,property_type,FP_FN_wrong_value,commercial,industrial
regex_baseline,edgar_0000899923_000089992324000018_phasei-leaseterminationagr,premises_area_sqft,FN_missed,48483.0,
regex_baseline,edgar_0000899923_000089992324000018_phasei-leaseterminationagr,lease_start_date,FP_FN_wrong_value,2016-02-03,1995-10-12
regex_baseline,edgar_0000899923_000089992324000018_phasei-leaseterminationagr,lease_end_date,FP_FN_wrong_value,2025-12-31,2026-01-15
regex_baseline,edgar_0000899923_000089992324000018_phasei-leaseterminationagr,rent_frequency,FP_FN_wrong_value,none,annual
regex_baseline,edgar_0000899923_000089992324000018_phaseii-leaseterminationag,landlord_name,FN_missed,hcpi utah ii llc,
regex_baseline,edgar_0000899923_000089992324000018_phaseii-leaseterminationag,tenant_name,FN_missed,myriad genetics inc,
regex_baseline,edgar_0000899923_000089992324000018_phaseii-leaseterminationag,property_address,FN_missed,320 wakara way salt lake city utah,
regex_baseline,edgar_0000899923_000089992324000018_phaseii-leaseterminationag,property_type,FP_FN_wrong_value,commercial,industrial
regex_baseline,edgar_0000899923_000089992324000018_phaseii-leaseterminationag,premises_area_sqft,FN_missed,48635.0,
regex_baseline,edgar_0000899923_000089992324000018_phaseii-leaseterminationag,lease_start_date,FP_FN_wrong_value,2016-02-03,1998-03-06
regex_baseline,edgar_0000899923_000089992324000018_phaseii-leaseterminationag,lease_end_date,FP_FN_wrong_value,2023-12-18,2026-01-15
regex_baseline,edgar_0000899923_000089992324000018_phaseii-leaseterminationag,rent_frequency,FP_FN_wrong_value,none,annual
regex_baseline,edgar_0001017303_000114036124013040_ef20015290-ex10-16,landlord_name,FN_missed,bomax properties llc,
regex_baseline,edgar_0001017303_000114036124013040_ef20015290-ex10-16,tenant_name,FN_missed,transact technologies incorporated,
regex_baseline,edgar_0001017303_000114036124013040_ef20015290-ex10-16,property_address,FN_missed,none,
regex_baseline,edgar_0001017303_000114036124013040_ef20015290-ex10-16,property_type,FP_FN_wrong_value,commercial,industrial
regex_baseline,edgar_0001017303_000114036124013040_ef20015290-ex10-16,lease_start_date,FP_FN_wrong_value,2001-07-18,1988-10-11
regex_baseline,edgar_0001017303_000114036124013040_ef20015290-ex10-16,lease_end_date,FP_hallucinated,,2001-07-18
regex_baseline,edgar_0001017303_000114036124013040_ef20015290-ex10-16,term_length_months,FN_missed,120,
regex_baseline,edgar_0001017303_000114036124013040_ef20015290-ex10-16,base_rent_amount,FN_missed,517208.0,
regex_baseline,edgar_0001017303_000114036124013040_ef20015290-ex10-16,rent_frequency,FP_FN_wrong_value,monthly,annual
regex_baseline,edgar_0001040161_000104016124000010_sanjoseleaseamendmentex1019,landlord_name,FN_missed,hudson concourse llc,
regex_baseline,edgar_0001040161_000104016124000010_sanjoseleaseamendmentex1019,tenant_name,FN_missed,pixelworks inc,
regex_baseline,edgar_0001040161_000104016124000010_sanjoseleaseamendmentex1019,property_address,FN_missed,226 airport parkway san jose california,
regex_baseline,edgar_0001040161_000104016124000010_sanjoseleaseamendmentex1019,property_type,FP_FN_wrong_value,comercial,retail
regex_baseline,edgar_0001040161_000104016124000010_sanjoseleaseamendmentex1019,premises_area_sqft,FN_missed,10051.0,
regex_baseline,edgar_0001040161_000104016124000010_sanjoseleaseamendmentex1019,lease_start_date,FP_FN_wrong_value,2024-10-17,2005-12-28
regex_baseline,edgar_0001040161_000104016124000010_sanjoseleaseamendmentex1019,lease_end_date,FP_FN_wrong_value,2027-11-17,2028-02-29
regex_baseline,edgar_0001040161_000104016124000010_sanjoseleaseamendmentex1019,base_rent_amount,FP_FN_wrong_value,22568.0,24661.43
regex_baseline,edgar_0001040161_000104016124000010_sanjoseleaseamendmentex1019,rent_frequency,FP_FN_wrong_value,monthly,annual
regex_baseline,edgar_0001074828_000165495422016732_knwn-ex1031,landlord_name,FN_missed,phil bosua,
regex_baseline,edgar_0001074828_000165495422016732_knwn-ex1031,tenant_name,FN_missed,know labs inc,
regex_baseline,edgar_0001074828_000165495422016732_knwn-ex1031,property_address,FN_missed,58969 carmelita circle yucca valley ca,
regex_baseline,edgar_0001074828_000165495422016732_knwn-ex1031,property_type,FP_FN_wrong_value,residendial,commercial
regex_baseline,edgar_0001074828_000165495422016732_knwn-ex1031,premises_area_sqft,FP_FN_wrong_value,2134.0,1700.0
regex_baseline,edgar_0001074828_000165495422016732_knwn-ex1031,term_length_months,FN_missed,25,
regex_baseline,edgar_0001074828_000165495422016732_knwn-ex1031,base_rent_amount,FP_FN_wrong_value,91500.0,7000.0
regex_baseline,edgar_0001075531_000107553122000046_saleleasebackspaexredacted,lease_start_date,FN_missed,2022-12-14,
regex_baseline,edgar_0001075531_000107553122000046_saleleasebackspaexredacted,base_rent_amount,FN_missed,1631422.27,
regex_baseline,edgar_0001075531_000107553122000046_saleleasebackspaexredacted,rent_frequency,FP_FN_wrong_value,yearly,annual
regex_baseline,edgar_0001095315_000109531522000095_freeportlease-pfswebexecut,landlord_name,FN_missed,crp ai freeport parkway owner l p,
regex_baseline,edgar_0001095315_000109531522000095_freeportlease-pfswebexecut,tenant_name,FN_missed,priority fulfillment services inc,
regex_baseline,edgar_0001095315_000109531522000095_freeportlease-pfswebexecut,property_address,FN_missed,4401 regent boulevard irving texas 75063,
regex_baseline,edgar_0001095315_000109531522000095_freeportlease-pfswebexecut,property_type,FP_FN_wrong_value,commercial,industrial
regex_baseline,edgar_0001095315_000109531522000095_freeportlease-pfswebexecut,premises_area_sqft,FN_missed,186900.0,
regex_baseline,edgar_0001095315_000109531522000095_freeportlease-pfswebexecut,lease_start_date,FP_FN_wrong_value,2023-07-01,2022-09-29
regex_baseline,edgar_0001095315_000109531522000095_freeportlease-pfswebexecut,lease_end_date,FP_hallucinated,,2023-07-01
regex_baseline,edgar_0001095315_000109531522000095_freeportlease-pfswebexecut,term_length_months,FN_missed,124,
regex_baseline,edgar_0001095315_000109531522000095_freeportlease-pfswebexecut,base_rent_amount,FP_FN_wrong_value,166652.5,227130.25
regex_baseline,edgar_0001095315_000109531522000095_freeportlease-pfswebexecut,rent_frequency,FP_hallucinated,,annual
regex_baseline,edgar_0001131312_000121390024024404_f10k2023ex10-4-zionoil,landlord_name,FN_missed,hartman spe llc,
